ZONA;BARRIO;CODIGO_CALLE;SIGLAS;CALLE;INICIO;FIN;PARIDAD
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;12;CALLE;ALEJANDRO CASONA                                  ;2;9998;Par  
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;34;CALLE;ARGAÑOSA                                          ;0;9999;Ambos
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;768;CALLE;BENEDICTO SANTOS LOPEZ                            ;0;9999;Ambos
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;57;CALLE;BERNARDO CASIELLES                                ;0;9999;Ambos
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;76;PSAJE;CAMPILLO Y COSSIO                                 ;0;9999;Ambos
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;90;CALLE;CARREÑO DE MIRANDA                                ;0;9999;Ambos
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;112;AVDA ;COLON DE                                          ;0;9999;Ambos
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;143;PSAJE;DOCTOR FRANCISCO GARCIA DIAZ                      ;0;9999;Ambos
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;519;CALLE;DON VICTOR QUINTANAR                              ;0;9999;Ambos
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;159;CALLE;FACETOS                                           ;1;30;Ambos
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;177;CALLE;FRANCISCO BANCES CANDAMO                          ;2;12;Par  
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;177;CALLE;FRANCISCO BANCES CANDAMO                          ;1;11;Impar
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;182;CALLE;FRATERNIDAD                                       ;1;34;Ambos
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;186;CALLE;FUENTE LA PLATA                                   ;0;9999;Ambos
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;190;AVDA ;GALICIA DE                                        ;38;9998;Par  
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;116;CALLE;GLORIA FUERTES                                    ;0;9999;Ambos
ARGAÑOSA-LA ERIA                                  ;ARGAÑOSA                                          ;4165;CALLE;ISIDRO LANGARA                                    ;0;9999;Ambos
